"airport","airportName","chart","status","codedId","faaExcluded","entries","incompleteEntries","unofferedTransitions","entryWarnings","plateUrl"
"KPHX","PHOENIX SKY HARBOR INTL","ILS OR LOC/DME RWY 07L","matched","KPHX:I07L","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00322ILD7L.PDF"
"KPHX","PHOENIX SKY HARBOR INTL","RNAV (GPS) Y RWY 07L","matched","KPHX:R07LY","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00322RY7L.PDF"
"KPHX","PHOENIX SKY HARBOR INTL","RNAV (GPS) Y RWY 07R","matched","KPHX:R07RY","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00322RY7R.PDF"
"KPHX","PHOENIX SKY HARBOR INTL","RNAV (GPS) Y RWY 08","matched","KPHX:R08-Y","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00322RY8.PDF"
"KPHX","PHOENIX SKY HARBOR INTL","RNAV (GPS) Y RWY 25L","matched","KPHX:R25LY","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00322RY25L.PDF"
"KPHX","PHOENIX SKY HARBOR INTL","RNAV (GPS) Y RWY 25R","matched","KPHX:R25RY","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00322RY25R.PDF"
"KPHX","PHOENIX SKY HARBOR INTL","RNAV (GPS) Y RWY 26","matched","KPHX:R26-Y","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/00322RY26.PDF"
"KPRC","PRESCOTT RGNL/ERNEST A LOVE FLD","ILS OR LOC/DME RWY 21L","matched","KPRC:I21L","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/00546ILD21L.PDF"
"KPRC","PRESCOTT RGNL/ERNEST A LOVE FLD","RNAV (RNP) Z RWY 03R","matched","KPRC:H03RZ","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/00546RRZ3R.PDF"
"KPRC","PRESCOTT RGNL/ERNEST A LOVE FLD","RNAV (GPS) RWY 12","matched","KPRC:R12","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00546R12.PDF"
"KPRC","PRESCOTT RGNL/ERNEST A LOVE FLD","RNAV (GPS) RWY 21L","matched","KPRC:R21L","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00546R21L.PDF"
"KPRC","PRESCOTT RGNL/ERNEST A LOVE FLD","RNAV (GPS) Y RWY 03R","matched","KPRC:R03RY","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/00546RY3R.PDF"
"KPRC","PRESCOTT RGNL/ERNEST A LOVE FLD","VOR RWY 12","matched","KPRC:S12","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/00546V12.PDF"
"KRQE","WINDOW ROCK","RNAV (GPS) RWY 03","matched","KRQE:R03","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/06357R3.PDF"
"KRQE","WINDOW ROCK","RNAV (GPS)-B","matched","KRQE:RNV-B","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/06357RB.PDF"
"KRYN","RYAN FLD","ILS OR LOC RWY 06R","no-exact-coded-match","KRYN:I06R","true","0","0","","","https://aeronav.faa.gov/d-tpp/2609/06513IL6R.PDF"
